"Event ID","행사명","행사 유형","시작일","종료일","개최 도시","세부 장소","영향 권역","Impact level","영향 예상 기간","규모 수치","규모 유형","수요 영향 근거","공식 출처 URL","최종 확인일","정보 상태","원본 조사 탭"
"CON-001","RYEOWOOK'S AGIT CONCERT : DIVE TO BLUE in SEOUL","Concert","2026-07-11","2026-07-12","서울","티켓링크 1975 씨어터","서울","","2026-07-11 ~ 2026-07-12","소극장급 / 공식 좌석 규모 별도 확인 필요","추정/공개 규모","아이돌·솔로 콘서트","","","Past","Concert(Hyoseo)"
"CON-002","U-KNOW PROJECT 26 : SCENE#1 in SEOUL","Concert","2026-07-17","2026-07-19","서울","잠실실내체육관","서울","","2026-07-17 ~ 2026-07-19","대형 실내체육관급 / 공연장 총좌석 약 11,032석","추정/공개 규모","아이돌·솔로 콘서트 / 기존 티켓링크 라이브 아레나에서 장소 변경","","","Past","Concert(Hyoseo)"
"CON-003","2026 SUPER JUNIOR-83z FANCON TOUR [1983]","Concert","2026-07-24","2026-07-26","서울","올림픽공원 올림픽홀","서울","","2026-07-24 ~ 2026-07-26","중형 홀급 / 고정석 약 2,454석·스탠딩 셋업 시 변동","추정/공개 규모","아이돌·팬콘","","","Past","Concert(Hyoseo)"
"CON-004","2026 KIM MYUNG SOO FAN-CON ASIA TOUR [UNCHANGED] IN SEOUL","Concert","2026-07-25","2026-07-26","서울","연세대학교 대강당","서울","","2026-07-25 ~ 2026-07-26","중형 강당급 / 약 1,600석","추정/공개 규모","아이돌·팬콘","","","Past","Concert(Hyoseo)"
"CON-005","2026 인천펜타포트 락 페스티벌","Concert","2026-07-31","2026-08-02","인천","송도달빛축제공원","인천","High Impact","2026-07-31 ~ 2026-08-02","대형 야외 페스티벌 / 국내외 66팀 출연 안내","추정/공개 규모","록 페스티벌","","","Past","Concert(Hyoseo)"
"CON-006","2026-27 aespa LIVE TOUR - SYNK : COMPLæXITY - in SEOUL","Concert","2026-08-07","2026-08-08","서울","고척스카이돔","서울","High Impact","2026-08-07 ~ 2026-08-08","대형 돔급 / 관람석 약 16,601석(공연 셋업별 변동)","추정/공개 규모","아이돌·투어 콘서트","","","Needs verification","Concert(Hyoseo)"
"CON-007","2026 LUN8 FANCON [OFF-ZONE]","Concert","2026-08-08","2026-08-08","서울","YES24 LIVE HALL","서울","","2026-08-08","중소형 라이브홀급 / 좌석 배치별 규모 변동","추정/공개 규모","아이돌·팬콘","","","Needs verification","Concert(Hyoseo)"
"CON-008","Kodaline - Farewell Tour in Seoul","Concert","2026-08-12","2026-08-12","서울","KSPO DOME","서울","High Impact","2026-08-12","대형 아레나급 / KSPO DOME 최대 14,594명(공연 셋업별 변동)","추정/공개 규모","내한공연 / 장소·규모 수정","","","Needs verification","Concert(Hyoseo)"
"CON-009","쏜애플 콘서트 ‘나의 세기’ - 서울","Concert","2026-08-15","2026-08-16","서울","올림픽공원 올림픽홀","서울","","2026-08-15 ~ 2026-08-16","중형 홀급 / 고정석 약 2,454석·스탠딩 셋업 시 변동","추정/공개 규모","국내 밴드 단독공연 / 추가 조사 반영","","","Needs verification","Concert(Hyoseo)"
"CON-010","김종국 30주년 콘서트 〈The Originals〉 - 서울 앵콜","Concert","2026-08-15","2026-08-16","서울","블루스퀘어 우리WON뱅킹홀","서울","","2026-08-15 ~ 2026-08-16","중형 공연장급 / 좌석 배치별 규모 변동","추정/공개 규모","국내 솔로 콘서트 / 추가 조사 반영","","","Needs verification","Concert(Hyoseo)"
"CON-011","Steve Lacy: Oh yeah? Asia Tour in Seoul","Concert","2026-08-19","2026-08-19","서울","올림픽공원 올림픽홀","서울","","2026-08-19","중형 홀급 / 고정석 약 2,454석·스탠딩 셋업 시 변동","추정/공개 규모","첫 단독 내한공연 / 추가 조사 반영","","","Needs verification","Concert(Hyoseo)"
"CON-012","BIGBANG 2026 WORLD TOUR IN GOYANG presented by Coupang Play","Concert","2026-08-21","2026-08-23","고양","고양종합운동장 주경기장","고양","High Impact","2026-08-21 ~ 2026-08-23","스타디움급 / 경기장 약 41,000석(공연 셋업별 변동)","추정/공개 규모","아이돌·월드투어","","","Needs verification","Concert(Hyoseo)"
"CON-013","2026 STAYC FAN CONCERT TOUR [STAY CLOSER] in SEOUL","Concert","2026-08-22","2026-08-23","서울","블루스퀘어 우리WON뱅킹홀","서울","","2026-08-22 ~ 2026-08-23","중형 공연장급 / 좌석 배치별 규모 변동","추정/공개 규모","아이돌·팬콘","","","Needs verification","Concert(Hyoseo)"
"CON-014","2026 KIM JAE JOONG CONCERT [THE WAVE] in Seoul","Concert","2026-08-29","2026-08-30","서울","KBS아레나","서울","","2026-08-29 ~ 2026-08-30","중형 아레나급 / 좌석 배치별 규모 변동","추정/공개 규모","아이돌·콘서트","","","Needs verification","Concert(Hyoseo)"
"CON-015","2026 PLAVE World Tour [KEEP IT MANIC] in Incheon","Concert","2026-09-12","2026-09-13","인천","인천문학경기장 주경기장","인천","High Impact","2026-09-12 ~ 2026-09-13","스타디움급 / 경기장 공시 수용 약 49,084명(공연 셋업별 변동)","추정/공개 규모","아이돌·월드투어","","","Needs verification","Concert(Hyoseo)"
"CON-016","NCT 127 5TH TOUR 'NEO CITY : SEOUL - THE REDLINE'","Concert","2026-09-18","2026-09-20","서울","KSPO DOME","서울","High Impact","2026-09-18 ~ 2026-09-20","대형 아레나급 / 약 14,923석(공연 셋업별 변동)","추정/공개 규모","아이돌·투어 콘서트","","","Needs verification","Concert(Hyoseo)"
"CON-017","2026 서리풀뮤직페스티벌","Concert","2026-09-19","2026-09-20","서울","반포대로 일대","서울","","2026-09-19 ~ 2026-09-20","도심형 축제 / 세부 관람 규모 추후 확인","추정/공개 규모","도심형 음악축제","","","Tentative","Concert(Hyoseo)"
"CON-018","2026 SPO Park Concert","Concert","2026-09-19","2026-09-20","서울","세부 장소 미공개","서울","","2026-09-19 ~ 2026-09-20","세부 규모 추후 확인","추정/공개 규모","서울시향 야외공연 / 연간계획 단계","","","Tentative","Concert(Hyoseo)"
"CON-019","Rachael Yamagata 'Starlit Alchemy Tour' 2026","Concert","2026-09-20","2026-09-20","서울","YES24 원더로크홀","서울","","2026-09-20","중소형 라이브홀급 / 좌석 배치별 규모 변동","추정/공개 규모","내한공연","","","Needs verification","Concert(Hyoseo)"
"CON-020","Silica Gel Asia Tour 〈Syn.THE.Size: Ballad of You〉 in Seoul","Concert","2026-09-26","2026-09-27","서울","KSPO DOME","서울","High Impact","2026-09-26 ~ 2026-09-27","대형 아레나급 / 약 14,000석 내외(공연 셋업별 변동)","추정/공개 규모","국내 밴드 아시아투어 / 추가 조사 반영","","","Needs verification","Concert(Hyoseo)"
"CON-021","Post Malone Presents The BIG Stadium World Tour in Seoul","Concert","2026-10-02","2026-10-02","고양","고양종합운동장 주경기장","고양","High Impact","2026-10-02","스타디움급 / 경기장 약 41,000석(공연 셋업별 변동)","추정/공개 규모","내한공연","","","Needs verification","Concert(Hyoseo)"
"CON-022","2026 Busan International Rock Festival","Concert","2026-10-02","2026-10-04","부산","삼락생태공원","부산","High Impact","2026-10-02 ~ 2026-10-04","대형 야외 페스티벌 / 1차 라인업 23팀 공개","추정/공개 규모","록 페스티벌","","","Needs verification","Concert(Hyoseo)"
"CON-023","LANY: soft world tour in Korea","Concert","2026-10-03","2026-10-03","고양","KINTEX 제2전시장 9홀","고양","","2026-10-03","대형 전시장형 공연장급 / 셋업별 규모 변동","추정/공개 규모","내한공연","","","Needs verification","Concert(Hyoseo)"
"CON-024","IDOL1ST KENTY' ASIA TOUR 2026 in Seoul","Concert","2026-10-03","2026-10-04","서울","올림픽공원 올림픽홀","서울","","2026-10-03 ~ 2026-10-04","중형 홀급 / 고정석 약 2,454석·스탠딩 셋업 시 변동","추정/공개 규모","내한공연","","","Needs verification","Concert(Hyoseo)"
"CON-025","Zara Larsson - Midnight Sun Tour in Korea","Concert","2026-10-04","2026-10-05","서울","명화라이브홀","서울","","2026-10-04 ~ 2026-10-05","중소형 라이브홀급 / 좌석 배치별 규모 변동","추정/공개 규모","첫 단독 내한공연","","","Needs verification","Concert(Hyoseo)"
"CON-026","Charlie Puth - Whatever's Clever! World Tour in Seoul","Concert","2026-10-11","2026-10-11","고양","고양종합운동장 주경기장","고양","High Impact","2026-10-11","스타디움급 / 경기장 약 41,000석(공연 셋업별 변동)","추정/공개 규모","내한공연","","","Needs verification","Concert(Hyoseo)"
"CON-027","Stray Kids World Tour 〈RUN IT SEOUL〉","Concert","2026-08-01","2026-08-02","서울","KSPO DOME","서울","High Impact","2026-08-01 ~ 2026-08-02","대형 아레나급 / KSPO DOME 최대 14,594명(공연 셋업별 변동)","추정/공개 규모","아이돌·월드투어 / 전체 일정 7/25~8/2","","","Past","Concert(Hyoseo)"
"CON-028","Official Hige Dandism Asia Tour in SEOUL","Concert","2026-08-08","2026-08-09","서울","KSPO DOME","서울","High Impact","2026-08-08 ~ 2026-08-09","대형 아레나급 / 약 15,000석 내외(공연 셋업별 변동)","추정/공개 규모","일본 밴드 내한공연","","","Needs verification","Concert(Hyoseo)"
"CON-029","2026 2PM Concert “THE RETURN” in INCHEON","Concert","2026-08-08","2026-08-09","인천","인스파이어 아레나","인천","High Impact","2026-08-08 ~ 2026-08-09","대형 아레나급 / 약 15,000석 내외(공연 셋업별 변동)","추정/공개 규모","아이돌·완전체 단독 콘서트","","","Needs verification","Concert(Hyoseo)"
"CON-030","현대카드 슈퍼콘서트 28 위켄드(The Weeknd)","Concert","2026-10-07","2026-10-08","고양","고양종합운동장 주경기장","고양","High Impact","2026-10-07 ~ 2026-10-08","스타디움급 / 경기장 약 41,000석(공연 셋업별 변동)","추정/공개 규모","내한공연·슈퍼콘서트","","","Needs verification","Concert(Hyoseo)"
"CON-031","Grand Mint Festival 2026","Concert","2026-10-17","2026-10-18","서울","올림픽공원 내 행사장","서울","High Impact","2026-10-17 ~ 2026-10-18","대형 야외 음악 페스티벌 / 세부 수용 규모 미공개","추정/공개 규모","국내 밴드·싱어송라이터 페스티벌","","","Tentative","Concert(Hyoseo)"
"CON-032","주술회전 인 콘서트 월드투어 in SEOUL","Concert","2026-11-07","2026-11-08","서울","경희대학교 평화의전당","서울","","2026-11-07 ~ 2026-11-08","중형 공연장급 / 평화의전당 약 4,000석 내외","추정/공개 규모","애니메이션 라이브 스크린 콘서트","","","Needs verification","Concert(Hyoseo)"
"CON-033","제이슨 므라즈(Jason Mraz) 아시아 투어 2026 - 서울","Concert","2026-11-14","2026-11-14","고양","KINTEX 제1전시장 1홀","고양","","2026-11-14","대형 전시장형 공연장급 / 셋업별 규모 변동","추정/공개 규모","내한공연","","","Needs verification","Concert(Hyoseo)"
"CON-034","2026 5 Seconds Of Summer 내한공연","Concert","2026-11-19","2026-11-19","고양","KINTEX 제1전시장 1홀","고양","","2026-11-19","대형 전시장형 공연장급 / 셋업별 규모 변동","추정/공개 규모","5SOS: EVERYONE'S A STAR! WORLD TOUR in SEOUL","","","Needs verification","Concert(Hyoseo)"
"SPO-001","제60회 대통령배 전국고교야구대회 — 포항","Sports","2026-07-18","2026-07-30","포항","","포항","Medium Impact","2026-07-18 ~ 2026-07-30","48개교","추정/공개 규모","포항 NRN 체크 우선. 포항시 공지와 기사에서 기간·개최지 확인","https://pohang.go.kr/portal/board/post/list.do?bcIdx=100&mid=0201010000&token=1702008163286","","Past","Sports(Jungjae)"
